;name;first valid date;latest valid date;delta time;first valid latitude, °N;lat;first valid longitude, °W;lon;displacement, m;displacement rate, m/y;first valid elevation, m;elev;elevation change, m;network;name_long
0;KPC_L;2008-11-15;2020-06-15;11.6;79.911;79.9108;24.0855;24.0816;80.0;6.9;380.0;366;-15.0;PROMICE;
1;KPC_U;2008-08-15;2020-06-15;11.8;79.8339;79.8348;25.1704;25.1636;170.0;14.3;868.0;867;-2.0;PROMICE;
2;SCO_L;2008-08-15;2017-07-15;8.9;72.2291;72.2224;26.8166;26.8181;749.0;84.1;473.0;459;-14.0;PROMICE;
3;SCO_U;2008-08-15;2012-01-15;3.4;72.3944;72.3941;27.2641;27.2527;386.0;112.9;994.0;986;-8.0;PROMICE;
4;  MIT;2009-05-15;2020-09-15;11.3;65.6926;65.6875;37.8255;37.8229;581.0;51.2;465.0;434;-31.0;PROMICE;
5;TAS_L;2008-11-15;2020-07-15;11.7;65.6415;65.6397;38.8982;38.8988;198.0;17.0;270.0;241;-29.0;PROMICE;
6;TAS_U;2008-11-15;2015-07-15;6.7;65.7009;65.6979;38.866;38.8668;340.0;51.0;565.0;568;3.0;PROMICE;
7;TAS_A;2015-09-15;2018-09-15;3.0;65.7796;65.7777;38.9008;38.8972;275.0;91.5;894.0;887;-6.0;PROMICE;
8;QAS_L;2009-09-15;2020-06-15;10.7;61.0314;61.0306;46.8482;46.8496;120.0;11.1;313.0;258;-55.0;PROMICE;
9;QAS_U;2008-08-15;2020-04-15;11.7;61.1789;61.1738;46.8162;46.821;622.0;53.3;910.0;888;-21.0;PROMICE;
10;QAS_M;2016-09-15;2020-08-15;3.9;61.0999;61.0988;46.833;46.8335;129.0;32.9;624.0;612;-12.0;PROMICE;
11;QAS_A;2013-09-15;2015-02-15;1.4;61.2446;61.2435;46.7334;46.7329;121.0;85.4;1014.0;1013;-1.0;PROMICE;
12;NUK_L;2007-11-15;2020-07-15;12.7;64.4817;64.4832;49.5222;49.5449;1104.0;87.2;586.0;517;-69.0;PROMICE;
13;NUK_U;2008-11-15;2020-08-15;11.7;64.4981;64.5098;49.2617;49.2777;1508.0;128.4;1139.0;1118;-21.0;PROMICE;
14;NUK_N;2010-11-15;2014-07-15;3.7;64.9458;64.9452;49.8837;49.885;84.0;22.9;924.0;920;-4.0;PROMICE;
15;NUK_K;2015-08-15;2020-07-15;4.9;64.1623;64.1623;51.3587;51.3587;2.0;0.4;714.0;706;-8.0;PROMICE;
16;KAN_L;2008-09-15;2020-08-15;11.9;67.0973;67.0944;49.9319;49.9601;1267.0;106.3;677.0;644;-33.0;PROMICE;
17;KAN_M;2008-09-15;2020-08-15;11.9;67.0657;67.0676;48.8165;48.8446;1240.0;104.1;1269.0;1268;-1.0;PROMICE;
18;KAN_U;2009-04-15;2020-08-15;11.3;67.0002;67.0005;47.0169;47.0306;597.0;52.7;1842.0;1831;-11.0;PROMICE;
19;UPE_L;2009-09-15;2020-07-15;10.8;72.8932;72.8932;54.2951;54.2956;17.0;1.6;226.0;206;-20.0;PROMICE;
20;UPE_U;2009-09-15;2020-07-15;10.8;72.8914;72.8863;53.5354;53.5999;2197.0;202.8;979.0;916;-62.0;PROMICE;
21;THU_L;2014-10-15;2020-06-15;5.7;76.3998;76.3998;68.266;68.267;26.0;4.6;571.0;565;-6.0;PROMICE;
22;THU_U;2016-08-15;2020-06-15;3.8;76.4197;76.4197;68.1462;68.1471;24.0;6.3;763.0;761;-2.0;PROMICE;
23;  EGP;2016-07-15;2020-06-15;3.9;75.6246;75.6258;35.975;35.9724;150.0;38.2;2663.0;2662;-1.0;PROMICE;
24;  CEN;2019-06-15;2020-09-15;1.3;77.1738;77.1738;61.1123;61.1123;0.0;0.0;1890.0;1888;-2.0;PROMICE;
25;SWC;2021-01-15;2021-10-15;0.7;69.5539;69.5534;-49.3705;-49.3725;96.0;128.3;1121.0;1121;0.0;GCN GEUS;
26;SDM;2021-07-15;2021-10-15;0.3;63.149;63.149;-44.8174;-44.8174;0.0;0.0;2895.0;2893;-2.0;GCN GEUS;
27;NSE;2021-07-15;2021-10-15;0.3;66.4778;66.4778;-42.4936;-42.4936;0.0;0.0;2386.0;2385;-1.0;GCN GEUS;
28;CP1;2021-07-15;2021-10-15;0.3;69.8724;69.8723;-47.0366;-47.0372;26.0;101.7;1940.0;1933;-7.0;GCN GEUS;
29;NAU;2021-09-15;2021-10-15;0.1;73.8406;73.8406;-49.5317;-49.5318;3.0;37.8;2340.0;2339;-1.0;GCN GEUS;
30;CEN;2021-09-15;2021-10-15;0.1;77.1819;77.1819;-61.1155;-61.1155;0.0;0.0;1893.0;1892;-1.0;GCN GEUS;
31;GIT;;;;;77.1433;;-61.095;;;;1925;;GC-Net;GITS
32;HUM;;;;;78.5266;;-56.8305;;;;1995;;GC-Net;Humboldt
33;SUM;;;;;72.5794;;-38.5042;;;;3254;;GC-Net;Summit
34;TUN;;;;;78.0168;;-33.9939;;;;2300;;GC-Net;Tunu-N
35;DY2;;;;;66.481;;-46.2799;;;;2100;;GC-Net;DYE-2
36;JR1;;;;;69.4984;;-49.6816;;;;962;;GC-Net;JAR1
37;SDL;;;;;66.0006;;-44.5014;;;;2460;;GC-Net;Saddle
38;NAE;;;;;75.0;;-29.9997;;;;2631;;GC-Net;NASA-E
39;NGP;;;;;75.0998;;-42.3326;;;;2918;;GC-Net;NGRIP
40;JR2;;;;;69.42;;-50.0575;;;;568;;GC-Net;JAR2
41;JR3;;;;;69.3951;;-50.31;;;;323;;GC-Net;JAR3
42;PTG;;;;;80.5897;;-59.9622;;;;825;;GC-Net;Petermann Gl.
43;PTE;;;;;80.0839;;-58.0672;;;;741;;GC-Net;Petermann ELA
44;NEM;;;;;77.45;;-51.06;;;;2450;;GC-Net;NEEM
45;MIT;;;;;65.6894;;-37.825;;;;440;;PROMICE;MIT
46;KAN_B;;;;;67.1251;;-50.1832;;;;-999;;PROMICE;KAN_B
47;EGP;;;;;75.6248;;-35.9729;;;;2661;;PROMICE;EGP
48;THU_U2;;;;;76.3877;;-68.1112;;;;761;;PROMICE;THU_U2
